Level,PhysicalPower,MagicPower,Range,Size,Duration,AttackSpeed,Amount,,MirageDagger
1,3,3,1,1,0,1,1,,MagicPower は Dagger が 分裂する回数。
2,3.100840336134454,3.0168067226890756,1.0168067226890756,1.0336134453781514,0,1.0756302521008403,1.0420168067226891,,Range は Life Time を表現する。
3,3.2016806722689077,3.033613445378151,1.0336134453781511,1.0672268907563027,0,1.1512605042016806,1.0840336134453783,,
4,3.3025210084033616,3.0504201680672267,1.0504201680672267,1.100840336134454,0,1.2268907563025209,1.1260504201680674,,
5,3.4033613445378155,3.0672268907563023,1.0672268907563023,1.1344537815126055,0,1.3025210084033612,1.1680672268907566,,
6,3.5042016806722693,3.084033613445378,1.0840336134453779,1.1680672268907568,0,1.3781512605042014,1.2100840336134457,,
7,3.605042016806723,3.1008403361344534,1.1008403361344534,1.2016806722689082,0,1.4537815126050417,1.252100840336135,,
8,3.705882352941177,3.117647058823529,1.117647058823529,1.2352941176470595,0,1.529411764705882,1.294117647058824,,
9,3.806722689075631,3.1344537815126046,1.1344537815126046,1.268907563025211,0,1.6050420168067223,1.3361344537815132,,
10,3.907563025210085,3.15126050420168,1.1512605042016801,1.3025210084033623,0,1.6806722689075626,1.3781512605042023,,
11,4.008403361344539,3.1680672268907557,1.1680672268907557,1.3361344537815136,0,1.756302521008403,1.4201680672268915,,
12,4.109243697478992,3.1848739495798313,1.1848739495798313,1.369747899159665,0,1.8319327731092432,1.4621848739495806,,
13,4.2100840336134455,3.201680672268907,1.2016806722689068,1.4033613445378164,0,1.9075630252100835,1.5042016806722698,,
14,4.310924369747899,3.2184873949579824,1.2184873949579824,1.4369747899159677,0,1.9831932773109238,1.546218487394959,,
15,4.411764705882352,3.235294117647058,1.235294117647058,1.470588235294119,0,2.058823529411764,1.588235294117648,,
16,4.512605042016806,3.2521008403361336,1.2521008403361336,1.5042016806722704,0,2.1344537815126046,1.6302521008403372,,
17,4.613445378151259,3.268907563025209,1.2689075630252091,1.5378151260504218,0,2.210084033613445,1.6722689075630264,,
18,4.714285714285713,3.2857142857142847,1.2857142857142847,1.5714285714285732,0,2.2857142857142856,1.7142857142857155,,
19,4.815126050420166,3.3025210084033603,1.3025210084033603,1.6050420168067245,0,2.361344537815126,1.7563025210084047,,
20,4.9159663865546195,3.319327731092436,1.3193277310924358,1.638655462184876,0,2.4369747899159666,1.7983193277310938,,
21,5.016806722689073,3.3361344537815114,1.3361344537815114,1.6722689075630273,0,2.512605042016807,1.840336134453783,,
22,5.117647058823526,3.352941176470587,1.352941176470587,1.7058823529411786,0,2.5882352941176476,1.8823529411764721,,
23,5.21848739495798,3.3697478991596626,1.3697478991596626,1.73949579831933,0,2.663865546218488,1.9243697478991613,,
24,5.319327731092433,3.386554621848738,1.3865546218487381,1.7731092436974814,0,2.7394957983193287,1.9663865546218504,,
25,5.420168067226887,3.4033613445378137,1.4033613445378137,1.8067226890756327,0,2.815126050420169,2.0084033613445396,,
26,5.52100840336134,3.4201680672268893,1.4201680672268893,1.840336134453784,0,2.8907563025210097,2.0504201680672285,,
27,5.6218487394957934,3.436974789915965,1.4369747899159648,1.8739495798319354,0,2.96638655462185,2.0924369747899174,,
