Level,Item ID,Amount
1,3,4
1,7,4
2,3,9
3,0,9
3,8,15
4,0,19
4,1,14
4,8,13
4,7,13
5,9,15
5,3,22
5,2,18
6,4,23
6,7,23
6,6,19
6,9,24
7,8,23
7,6,18
8,9,27
9,3,28
9,5,27
9,8,24
9,6,27
9,0,23
10,4,27
10,1,31
10,2,26
10,0,27
10,8,30
11,0,36
11,4,32
11,5,29
12,3,31
12,0,31
12,5,36
13,0,40
13,7,41
13,6,35
13,2,35
13,1,32
14,7,39
14,1,38
14,9,41
14,6,39
14,5,37
15,2,37
15,3,41
16,5,40
17,4,47
17,0,42
17,9,46
17,3,42
17,6,50
18,8,47
18,3,48
19,7,49
19,5,51
19,4,46
19,2,51
20,6,50
20,4,49
20,8,52
21,6,51
22,7,62
23,7,64
23,5,57
23,6,57
23,4,56
23,9,65
24,6,62
24,3,65
25,4,63
25,8,68
25,9,70
26,1,71
26,5,72
26,8,70
26,6,72
27,7,71
27,9,67
28,0,68
28,3,69
28,7,77
28,6,71
29,7,73
30,5,82
30,9,79
30,3,81
31,2,76
31,0,80
31,6,80
32,3,87
32,4,87
32,9,84
33,4,88
33,8,82
33,2,87
33,0,83
33,1,87
34,8,91
35,8,89
35,5,90
35,3,94
35,7,88
36,7,88
36,9,97
36,0,93
37,2,95
38,0,100
38,3,97
39,6,96
39,8,99
39,3,102
39,4,96
39,2,101
40,4,97
41,9,107
41,6,106
41,1,104
42,3,103
42,9,103
42,8,110
43,9,108
44,0,112
45,6,109
45,3,111
46,3,114
46,8,119
47,9,123
47,2,114
47,1,115
47,0,118
48,3,122
48,5,126
48,6,121
48,2,117
49,6,120
49,8,126
50,2,130
50,8,125
50,6,121
50,3,123
51,5,126
51,6,132
52,3,134
52,7,127
53,1,130
53,9,131
53,4,133
54,4,131
54,5,139
54,9,140
55,5,141
55,8,133
55,9,138
56,0,143
56,1,141
56,7,145
56,2,137
57,2,138
57,4,145
57,5,138
58,1,142
58,0,147
58,6,149
58,8,150
59,2,152
59,9,149
59,3,151
59,4,143
59,1,151
60,8,150
60,0,151
60,2,154
61,6,152
61,9,154
61,8,157
62,9,154
62,4,159
62,5,151
63,3,160
63,7,161
63,9,153
63,5,157
63,4,160
64,6,155
64,3,159
64,5,156
64,1,160
65,8,167
65,9,160
65,0,159
66,7,167
66,4,160
66,0,166
67,5,162
67,4,169
67,9,167
68,1,167
69,4,175
69,7,174
70,9,174
70,2,172
70,8,170
71,8,172
72,2,177
72,9,181
72,6,179
72,0,184
73,1,177
73,0,183
73,9,177
73,2,179
74,7,179
74,6,184
74,4,185
74,1,182
74,2,179
75,8,182
75,2,184
76,0,188
76,3,191
76,9,192
77,7,187
77,6,196
77,4,191
78,1,198
79,0,193
80,9,197
80,1,195
80,7,195
80,4,198
80,2,194
81,2,199
81,1,201
81,8,196
81,0,204
82,8,199
82,2,207
83,8,206
83,2,205
84,5,208
84,9,207
85,2,207
85,9,213
85,1,214
86,8,211
87,8,213
87,2,219
87,9,220
88,7,217
89,6,223
89,0,220
90,2,223
90,7,222
91,4,228
91,3,226
91,8,221
91,6,221
92,6,225
92,7,232
93,8,231
93,9,230
94,5,235
94,8,231
94,3,234
94,7,234
95,1,232
95,4,238
95,7,232
95,6,234
95,0,235
96,6,234
96,0,234
96,7,241
96,9,234
97,4,241
97,8,239
98,9,242
98,7,237
99,4,244
99,5,248
99,6,242
100,2,248
100,7,248
100,8,243
101,3,248
101,7,251
101,8,253
102,2,250
102,4,247
103,1,251
103,9,251
103,2,252
103,5,254
103,3,251
104,5,260
104,4,261
104,6,253
104,9,258
104,1,257
105,3,256
105,5,254
105,4,261
105,6,256
106,0,262
107,8,265
108,9,263
109,0,265
109,6,271
110,6,267
110,5,272
110,1,273
110,0,268
110,3,271
111,7,275
111,2,273
112,5,276
112,4,271
112,8,276
112,9,274
112,7,277
113,9,276
113,2,274
113,5,282
114,1,285
114,0,282
114,6,284
114,2,277
114,7,276
115,7,282
115,8,282
116,3,283
116,6,282
116,0,287
117,9,286
117,5,291
117,2,288
117,7,292
118,6,286
118,0,286
118,8,294
119,6,288
119,9,297
120,5,294
120,3,291
120,4,293
120,2,300
